Date,Open,High,Low,Close,Adj Close,Volume
1-Nov-24,296.79,304.38,295.71,303.13,303.13,"2,974,300"
31-Oct-24,306.12,307.4,294.68,296.87,296.87,"3,475,700"
30-Oct-24,311.5,315.48,307.14,307.45,307.45,"2,083,800"
29-Oct-24,303.24,313.15,300.4,310.94,310.94,"3,454,800"
28-Oct-24,301.14,305,295.31,301.32,301.32,"3,464,800"
25-Oct-24,305.22,311.35,295.13,300.62,300.62,"6,045,800"
24-Oct-24,302.11,305.91,301,304.47,304.47,"1,980,900"
23-Oct-24,307.14,308.07,298.32,299.3,299.3,"3,102,900"
22-Oct-24,309,311.56,304.26,308.51,308.51,"2,259,200"
21-Oct-24,309.66,317,308.11,309.55,309.55,"3,293,500"
18-Oct-24,310.34,313.88,306.81,310.15,310.15,"2,897,100"
17-Oct-24,310,313.74,306.24,310.34,310.34,"3,078,400"
16-Oct-24,303.85,307.2,299.27,306.24,306.24,"2,889,200"
15-Oct-24,309.55,310.52,300.69,302.31,302.31,"3,765,400"
14-Oct-24,321.57,323.94,309.6,310.52,310.52,"4,474,200"
11-Oct-24,314.92,322.59,313,320.21,320.21,"4,606,800"
10-Oct-24,297.72,315.53,297,314.92,314.92,"7,859,900"
9-Oct-24,293.74,298.77,292.5,298.34,298.34,"2,534,400"
8-Oct-24,287.88,295.25,286.78,293.01,293.01,"2,886,300"
7-Oct-24,291,293,285.79,286.97,286.97,"2,314,300"
4-Oct-24,288.16,292.56,283.8,292.24,292.24,"3,118,400"
3-Oct-24,279,286.9,278.56,283.75,283.75,"3,336,400"
2-Oct-24,274.89,282.15,274.86,280.24,280.24,"2,592,600"
1-Oct-24,282.26,282.97,272.67,275.15,275.15,"3,122,600"
30-Sep-24,284,285.41,278.2,280.47,280.47,"2,853,700"
27-Sep-24,283.8,286.45,281.15,285.86,285.86,"2,896,400"
26-Sep-24,291.25,292.38,277.88,281.48,281.48,"4,532,100"
25-Sep-24,290,291.73,285.54,286.47,286.47,"2,953,500"
24-Sep-24,294.89,295.4,285.28,288.54,288.54,"4,110,700"
23-Sep-24,297.78,302.16,292.57,293.14,293.14,"5,519,300"
20-Sep-24,284.13,300.45,283.88,299.85,299.85,"17,875,100"
19-Sep-24,276,283.99,273.75,277.38,277.38,"6,219,000"
18-Sep-24,269.49,272.02,263.45,267.12,267.12,"3,178,600"
17-Sep-24,270.2,272.4,267.32,268.72,268.72,"2,775,400"
16-Sep-24,260.77,270.05,259.35,267.81,267.81,"3,698,600"
13-Sep-24,257,261.58,256,259.13,259.13,"2,133,900"
12-Sep-24,255.68,258.38,252.48,257.1,257.1,"2,650,400"
11-Sep-24,247.73,254.58,242.25,253.53,253.53,"2,666,100"
10-Sep-24,248.75,250.33,243.55,247.74,247.74,"2,199,200"
9-Sep-24,249.12,249.5,244.17,246.58,246.58,"3,198,200"
6-Sep-24,255.8,257.4,244.49,246.39,246.39,"4,320,100"
5-Sep-24,255.4,259,252.67,256.43,256.43,"3,928,000"
4-Sep-24,260.44,267.2,258.41,259.32,259.32,"4,372,200"
3-Sep-24,275.78,277.51,265.29,266.6,266.6,"5,503,200"
30-Aug-24,277.78,284.11,273.35,277.28,277.28,"6,617,000"
29-Aug-24,262.01,285.73,261.33,271.67,271.67,"13,100,200"
28-Aug-24,269.8,270.72,261.48,264.2,264.2,"7,072,600"
27-Aug-24,261.81,270.43,260.75,269.83,269.83,"3,686,900"
26-Aug-24,271.06,271.74,265.27,265.87,265.87,"3,558,400"
23-Aug-24,270.1,273.6,266.81,271.54,271.54,"3,248,600"
